Author(s),Central claim,DOI or URL,Gap or limitation,Journal or Proceedings,Key concepts or framework,Paper Title,Quotable moment,Relevance to argument,Synthesis paragraph,Year,Thread,Reviewers
Cha et al.,"Using a Maximal Covering Location Problem model applied to Hilliard, Ohio, this study finds that adding roughly 26 to 36 new bus stops chosen through spatial optimization can increase transit access coverage for origin- and destination-based transport disadvantaged areas by around 70 to 78 percent.",https://dc.uwm.edu/ijger/vol7/iss1/2,"The model treats equity solely as spatial coverage and demand estimated from data, with no field validation of whether the transport disadvantaged residents identified would actually use or want the proposed new stops.","International Journal of Geospatial and Environmental Research, 7(1), Article 2","Transport disadvantaged: people who need public transportation because they lack access to personal vehicles, often left unserved by transit built around able bodied commuters. Maximal Covering Location Problem: an optimization model that selects facility locations to maximize coverage of a defined demand. Bi-objective model: weighting origin-based and destination-based demand together to find stop locations serving both simultaneously.",Enhancing Equity in Public Transportation Using Geographic Information Systems and Spatial Optimization,"""some people are excluded from the right of mobility and accessibility"" (p. 3).","A thin fit for this section: the paper is a purely technical GIS optimization study demonstrating how facility placement can mathematically improve coverage for transport disadvantaged areas, but it does not address community participation in decisions at all, illustrating the kind of top-down, technically-defined equity analysis the section's argument pushes against.","This paper exemplifies the technical, top-down equity analysis the section contrasts with participatory approaches: it optimizes bus stop locations mathematically to improve coverage for transport disadvantaged areas without any described role for affected residents in defining need or reviewing outcomes. It is useful as a contrast case showing what equity work looks like when treated as a spatial optimization problem alone.",2020,Equity,"Shashi, Aditya"
Pan et al.,"A systematic review of academic papers, agency reports, and TRB conference materials finds that equity remains inconsistently integrated into transportation scenario planning, especially for newer scenarios involving emerging technology, and recommends embedding vertical equity analysis and advanced community participation techniques throughout all four phases of the scenario planning process.",https://doi.org/10.1016/j.tranpol.2023.10.015,"As a review of existing literature and conference materials, the paper's policy recommendations are not yet tested through implementation, and the reviewed practices themselves varied widely in rigor and are unevenly documented.",Transport Policy,"Vertical equity: allocating costs and benefits based on differing mobility needs, income, and structural inequalities, distinct from horizontal equity's equal treatment of similar groups. Scenario planning: a multi-step process generating and evaluating multiple possible transportation futures rather than one forecast. Community participation as justice-building: training community members in the planning process itself so input can shape long-term plans, not just react to them.",Integrating equity in transportation scenario planning: A systematic review,"""how their participation can affect long-term plans"" (p. 21).","Directly supports the infrastructure without participation reproduces exclusion half, citing Karner et al.'s point that community participation in scenario planning must go beyond collecting opinions to teaching communities how the process itself works, so their input can actually shape long-term plans rather than being collected and set aside.","This review reinforces the exclusion claim by showing equity, especially community participation, remains inconsistently built into transportation scenario planning, with newer technology-focused scenarios like electric vehicles particularly likely to skip equity analysis. It draws on Karner et al.'s argument that real participation requires teaching communities the planning process itself, not just soliciting opinions.",2024-01-01 00:00:00,Equity,"Shashi, Aditya"
Vanderschuren et al.,"A policy inventory across 29 African countries and a South African household survey case study find that most transport policies omit or only superficially address people with disabilities, and that South Africans with disabilities take 27 to 66 percent fewer weekly trips than non-disabled residents, evidence of social isolation produced by policy neglect.",https://doi.org/10.1186/s12961-021-00775-1,"The authors explicitly state they did not investigate the actual role of community leaders, NGOs, and lobby groups in African transport planning, and recommend this as a direction for future research rather than something this study demonstrates.","Health Research Policy and Systems, 19, 124","Universal design: designing environments to be usable by the greatest range of people, contrasted with policies that address disability only superficially. Transport justice framework: an approach linking space and mobility to accessibility that the authors note tends to overlook how differently embodied people interact with infrastructure. Trip frequency as isolation measure: using reduced trip-making as a quantitative proxy for social exclusion.",Inclusive planning: African policy inventory and South African mobility case study on the exclusion of persons with disabilities,"""people with disability live less integrated, more isolated lives"" (p. 10).","Supports the unevenly distributed half with cross-national policy evidence and South African trip-rate data showing severe disability related mobility gaps. On participation, the paper recommends including community leaders, NGOs, and disability advocacy groups in ongoing infrastructure projects but explicitly acknowledges it did not investigate their actual role, leaving this a recommendation rather than documented evidence.","This paper documents severe, quantified disability-related mobility gaps across Africa rooted in policy neglect rather than only infrastructure, supporting the uneven distribution half with concrete trip-rate evidence. Its own honesty about not yet studying community leaders' and disability advocates' actual role in planning marks where the participation half still needs direct empirical grounding.",2021,Equity,"Shashi, Aditya"
Sutcliffe et al.,"Interviews with transit officials across six Ontario transit authorities find that pandemic-driven service cuts disproportionately harmed low-income and marginalized riders, and that officials, aware of transit equity concerns, had little practical ability to consult transit users before making rapid cuts, most starkly in Windsor's unilateral shutdown of all transit service.",https://ssrn.com/abstract=3977617,The paper centers transit officials' own accounts of their decision-making rather than interviews with the low-income and marginalized riders who bore the impact of service cuts directly.,SSRN Working Paper,"Transit equity: ensuring public transit service changes do not disproportionately burden those who depend on transit most. Emergency decision-making: rapid, top-down authority, such as a mayor's Emergency Measures Bylaw, that bypasses normal consultation processes during a crisis. Transit poverty: a state in which loss of affordable transit forces reliance on far more expensive alternatives like taxis.",Transit Equity in the Face of the COVID-19 Pandemic: A Study of Six Ontario Transit Authorities,"""Transit groups and users were not consulted prior to this decision being taken"" (p. 18).","Directly supports the infrastructure without participation reproduces exclusion half with a stark example: a mayor's unilateral, unconsulted decision to shut down an entire transit system, using emergency powers, left thousands without transportation and sparked public opposition, even though officials elsewhere in the study expressed awareness of and concern for transit equity.","This paper gives the section a sharp, real-time example of the exclusion claim: a mayor's unilateral, unconsulted shutdown of an entire transit system left thousands without transportation, even as officials elsewhere expressed genuine concern for transit equity. It shows that good intentions among decision-makers do not substitute for actual consultation when speed overrides participation.",2021-12-04 00:00:00,Equity,"Shashi, Aditya"
Grasso et al.,"Survey analysis in Baltimore finds people of color, women, low-income, less-educated, and unemployed residents are underrepresented in Baltimore Bike Share membership, with race and gender specifically associated with distinct barriers, safety concerns for women and difficulty riding with children or cargo for nonwhite residents, that uniform system design does not address.",https://doi.org/10.3390/su12187600,"The non-user survey has a small sample size that limited the ability to detect effects for some demographic subgroups, and nonresponse bias likely underrepresents residents without regular email access or who are not native English speakers.","Sustainability, 12(18), 7600","Vertical equity: the fair distribution of costs and benefits among groups differing by income or social class, applied here to bike share access. Equity of opportunity versus equity of outcome: whether adequate access has been provided versus whether usage rates actually reflect community demographics. Bike share barriers: safety, personal hygiene, harassment risk, and cargo or child-carrying needs that vary systematically by race and gender.","Bike Share Equity for Underrepresented Groups: Analyzing Barriers to System Usage in Baltimore, Maryland","""one of the biggest barriers to biking, across all demographic categories, is concern about personal safety"" (p. 12).","Supports the unevenly distributed half by quantifying who is left out of a specific mobility system and why, and touches the participation half through its policy recommendation for grassroots community outreach, ambassador programs, and community-based design input to reach underrepresented groups rather than relying on system design alone.","This paper shows that even a supposedly universal mobility service like bike share reproduces exclusion when designed around a narrow user profile, and that closing the gap requires more than infrastructure alone, community outreach and ambassador programs targeted at underrepresented groups. It supports the uneven distribution half with quantified racial and gender specific barriers.",2020,Equity,"Shashi, Aditya"
"Baumann, K., Caldwell, B., Bar, F., & Stokes, B.","This paper argues that speculative urban technologies (including self-driving cars) should be co-designed with residents through long-term community storytelling, because doing so builds a community's lasting capacity to shape its own technological future rather than having that future imposed on it.",https://doi.org/10.1145/3170427.3186601,"As a one-page extended abstract, it gives little detail on the analysis method or on whether the workshops produced any lasting change for the neighborhood, so it can't fully evidence the durability it claims.",Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems,"Participatory design fiction: combining real community participation with fictional/speculative technology concepts, so residents react to and reshape a not-yet-real tech.
Infrastructures of the imagination: the idea that a community's ability to picture and steer its own future is something you can deliberately build up, like infrastructure.
Community storytelling: residents author their own scenarios about future tech, instead of researchers authoring them on their behalf.",Community storytelling for speculative urban technologies.,"""By grounding speculative designs in a community context, students and residents imagined novel technologies"" (Abstract)","This is one of the closest existing precedents for exactly what we did - residents used workshops and a speculative self-driving car concept to shape technology on their own terms, in a community under outside pressure. It directly supports our thread by showing that a speculative AV provocation run through community workshops is a proven way to surface what a community values, which is the core of our ""arrives without their participation"" critique.","The literature makes a strong case that workshops paired with a speculative provocation were the right way to surface community values around AVs, a technology that isn't here yet. You can't interview people about something they've never used, and Liao and Muller show why: when a technology isn't part of everyday life, a fictional version is what draws values out. Wong, Omori and Lim, and Sörries prove the mechanism works; a believable speculative artifact gets people treating it as real and voicing values a survey would miss, and structured workshops turn those values into actual design requirements. Baumann, Van Wynsberghe, and Severs show this already working in real AV workshops, while Tan and Aranda-Muñoz show it holding up in other fields, from social service to healthcare. And it matters: Forlano and Mathew show that the friction a speculative provocation creates, like pushback, confusion or reframing, is exactly where values surface, not a flaw in the method. Still, the method isn't automatic; Barendregt warns that most participatory work only includes experts, not the affected public, which is exactly why running real workshops with pantry users, not just experts, was the right choice.",2018,Participatory Method,Mariya
"Van Wynsberghe, A., & Guimarães Pereira, Â.","This paper argues that autonomous vehicles are being built to solve a different problem than the mobility problem people actually have, and that only participatory speculative workshops with citizens reveal this mismatch, because when citizens imagine their own futures, they redefine mobility on their own terms rather than the industry's.",https://doi.org/10.1057/s41599-022-01209-1,"Their participants were largely people who attended EU public-engagement events, so the sample doesn't specifically reach the transport-excluded, service-dependent population (like Arthur) that our project centers on.","Humanities and Social Sciences Communications, 9, Article 284","Futures Making Ateliers: group workshops using Lego, cards, and physical objects to help citizens imagine and prototype alternative mobility futures.
MacGuffin: a device that isn't the real point but sets the story in motion; they argue the AV worked this way, as a prompt that got people imagining alternatives rather than as the actual subject.
Material deliberation: using physical objects in workshops so that non-expert, embodied knowledge gets included in debates usually dominated by experts.",The politics and imaginary of 'autonomous vehicles': A participatory journey.,"""Such engagement activities should play a central role in policy-making involving technological innovations, as these results showcase how participants’ experiences can allow for a variety of outcomes and solutions to be considered without falling prey to technological ‘solutionism’."" (""Alternative mobility futures for Europe"" section)","This paper is both a direct precedent for speculative AV workshops with citizens and a mirror of our core finding since that efficiency-driven industry visions of AVs don't match what communities actually value. It strongly supports our thread: the workshop-plus-speculative-provocation method is precisely what surfaced the gap between the industry's ""what AVs are for"" and the community's own mobility concerns.",,2022,Participatory Method,Mariya
"Severs, R., Wu, J., Diels, C., Harrow, D., Singleton, J., & Winsor, R.","This paper argues that transport-excluded groups hold specific, identifiable design needs for shared autonomous vehicles that mainstream AV design misses, and that participatory workshops are the necessary method for surfacing those needs, since these groups have no direct experience of the technology to draw on otherwise.",https://dl.acm.org/doi/epdf/10.1145/3544999.3554787,"With only 11 participants across four workshops, and a focus on vehicle interiors rather than the wider service system, it doesn't address how AV deployment reshapes community-level access or governance which is the infrastructure-scale question our argument foregrounds.",Adjunct Proceedings of the 14th International Conference on Automotive User Interfaces and Interactive Vehicular Applications,"Journey mapping: participants walk through what a typical trip currently looks like for them, exposing where existing mobility breaks down.
Transport exclusion: the framing that certain groups are structurally locked out of mobility, making it a design and equity problem rather than a personal one.
Participatory design activity: hands-on co-design where excluded participants generate their own solutions for a technology they've never used.",Imagining an inclusive future for shared autonomous vehicle interiors: A participatory design workshop study,"""Participatory design was used in the second phase of the work-shops to engage participants in considering future scenarios and developing ideas for how SAVs could be made more inclusive"" (2.3 Participatory Design Section)","This is the closest paper in terms of method, with the same technology (AVs), same kind of underserved population, same multi-workshop approach with a not-yet-experienced technology. It directly supports our thread by proving the workshop method already produces real, usable design insight with exactly the kind of participants and technology our project involves.",,2022,Participatory Method,Mariya
"Tan, Y., Soh, K.X., Zhang, R., Lee, J., Meng, H., Sen, B., & Lee, Y.-C.","This paper argues that a not-yet-embedded technology in a social service setting must be co-designed with frontline practitioners through workshops, because only that process surfaces their real concerns; over lost skills, overreliance, and threats to the human core of the profession; early enough to shape the design.",https://dl.acm.org/doi/epdf/10.1145/3706599.3719736,"All participants came from two agencies in a single country, and the study is about AI casework tools rather than mobility, so its value for us is in the method and the pattern of practitioner concern, not in the specific technology.",Extended Abstracts of the CHI Conference on Human Factors in Computing Systems (CHI EA '25),"Two-stage participatory design: The study’s overarching methodology, Stage 1 being co-design workshops to build a prototype, and Stage 2 including contextual inquiry where practitioners test it on real cases.
Boundary work: the line practitioners draw between ""monotonous"" administrative labor and the ""professional, knowledge-based"" work they see as core to their identity, which new tech threatens to cross.
Overreliance: the risk that workers lean on the tool's output without critical checking, especially junior staff.",Empowering social service with AI: Insights from a participatory design study with practitioners.,"The centre director (D1)quoted, ""One of our concerns is... [will using this AI] actually dis-able our ability to make assessments?"" (Section 4.2.4)","This is our strongest domain-matched precedent covering social service, the same context SECS operates in. It supports our thread by showing that workshops with frontline social service workers reliably surface exactly the relational-trust and human-connection concerns that our own Seniors & Volunteers and Stakeholder workshops raised, reinforcing that these values only emerge through participatory methods, not from studying the technology alone.",,2025,Participatory Method,Mariya
"Aranda-Muñoz, Á., Bozic Yams, N., & Carlgren, L.","This paper argues that combining speculative design with artistic intervention across a series of workshops actively strengthens participants' sense of agency over their own future, meaning speculative workshops don't just collect opinions, they change participants' relationship to a future being shaped around them.",https://doi.org/10.1016/j.futures.2025.103549,"Its institutional setting (a formal training center) is more controlled than a community-based food pantry context, so it doesn't speak to running speculative workshops with an underserved, non-professional population.","Article: 103549
Volume 166","Speculative Design: A practice that uses design not to solve immediate problems, but to create ""diegetic prototypes"" that open up discourse and allow people to question preferable futures
Design Fiction: A form of speculative design that uses a collection of artifacts to build a fictional world, helping participants explore alternative realities and assess current practices
Experiential futures: futures that participants feel and enact in the moment, rather than discuss in the abstract.",Co-experiential futuring: Where speculative design and arts meet futures studies,"""The core idea behind speculating through design is not to predict and present how things will be or solve a particular problem, but to open up the design situation and discourse so people can discuss and question alternative and preferable futures"" (Section 2: Collaborative design futuring and experiential futures)","Though not about AVs, this supports our thread by proving the workshop-plus-speculation method reliably works in a completely different domain (healthcare-worker training), which answers the obvious objection that our method only worked because of our specific context. It's our generalizability evidence for choosing workshops over interviews.",,2025,Participatory Method,Mariya
"Liao, Q.V., & Muller, M.","This paper argues that when a technology isn't yet part of people's everyday lives, the only adequate way to inquire into stakeholders' values is to fuse participatory design with design fiction, because neither studying current practice nor speculation alone can surface values about a technology that doesn't yet exist.",https://arxiv.org/pdf/1912.07381,"Its own case study is very small (six volunteers and one short workshop), so it offers a well-argued rationale for the method but only preliminary evidence that it works at scale.",IBM Research,"Value Sensitive Design (VSD): an established HCI approach for accounting for human values throughout the design process, not just performance and usability.
Participatory Design Fictions (PDF): their core framework: a method for soliciting stakeholder input through ""strategically incomplete fictions"", stories that establish a setting and characters but end prematurely at a critical decision point.
Grounded Theory: A qualitative analysis method used to identify conceptual categories and value themes within the collected stories",Enabling value sensitive AI systems through participatory design fictions,"""PD thus embodies moral commitments to diverse human values, meanwhile a more descriptive, bottom-up approach to integrate them in technology design."" (Participatory Design Section)","This is the paper that names and justifies our exact method, just applied to AI rather than AVs - we could not interview pantry users about a non-existent AV, so we did what this paper prescribes: brought in real stakeholders and gave them a speculative version to react to. It is our direct answer to ""why not just run interviews.""",,2019,Participatory Method,Mariya
"Barendregt, L., Bendor, R., & van Eekelen, B.F.","This paper argues that participatory futuring, despite its democratic rhetoric, mostly includes only experts and professionals rather than affected publics, and that even when publics are involved the process is often not designed to genuinely empower them.",https://doi.org/10.1016/j.futures.2024.103346,"As a review of published academic work, it captures only what has been formally written up, missing informal or community-led engagement that never reached publication.","Journal: Futures, 158, Article 103346.","Participatory futuring: collective activities in which people imagine and deliberate over possible futures.
Arnstein's ladder of citizen participation: a classic scale of how much real power participants hold, from token consultation to genuine control; they argue futuring can empower in ways this ladder misses.
The 'subject of the future': an identity position that could make participation more generative, by casting participants as authors of the future rather than data sources.",Public participation in futuring: A systematic literature review.,"""While establishing the scope of our study we found that much participatory futuring is only inclusive of experts and professionals, and during the study we found that a majority of participatory futuring with publics involves them alongside people participating in an expert or professional capacity."" (Section 6.1, ""How inclusive?"")","This review supplies field-level evidence that our project's decision to include pantry users and volunteers directly, not only SECS staff or experts, is a genuinely stronger and less common move, which backs our ""passive users vs stakeholders"" sub-point with more than opinion. It positions our participatory choice as filling a documented gap in the field.",,2024,Participatory Method,Mariya
"Forlano, L., & Mathew, A.","This paper argues that combining speculative and participatory design for urban technology should aim for ""friction""; deliberate moments of disagreement, resistance, and reframing among stakeholders; because it is precisely in that friction that people's embedded values become visible and contestable.",Paper Link,"Its stakeholders are mixed policy actors rather than a specifically underserved community, so it doesn't address the power asymmetries between participant types that a food-pantry context makes central.","Journal of Urban Technology, 21(4), 7–24.","Design friction: deliberately built-in resistance or disagreement in a design process, treated as productive rather than as a failure.
Participatory Workshops: A series of five-hour workshops where participants used design fiction to move past today's technical constraints and focus on human values.
Designing Policy Toolkit: A large-format visual poster that serves as a ""boundary object"" to bridge the gap between scientific experts, policymakers, and citizens. It explains concepts like value-sensitive design and provides a methodology for collaborative workshops.",From design fiction to design friction: Speculative and participatory design of values-embedded urban technology.,"""this paper introduces the term design friction to capture a range of examples of the ways in which tension, conflict, or disagreement allowed for the discussion of urban tech-nology to move out of the “black box” and into prototyping alternative possible futures and questions rather than problem solving for today’s challenges."" (Conclusion Section)","This gives a name and a rationale to the ""breakdown moments"" in our own workshops, like the points where our speculative AV concept met resistance, confusion, or reframing. It supports our thread by reframing that friction not as a flaw in the method but as the exact mechanism through which community values (and their misalignment with efficiency logic) surface.",,2014,Participatory Method,Mariya
"Omori, M., & Lim, Y.","This paper argues that a single believable speculative prototype, even a fake but plausible product website, can function as a public-facing tool that provokes people into reflecting on their own values around an emerging technology, rather than merely eliciting their opinion of a product.",https://doi.org/10.21606/iasdr.2025.823,"It's a single design case with no formal participant study attached, so it can't tell us how reactions were gathered or how the method holds up with a real, diverse community.","Paper, IASDR 2025: Design Next.","Diegetic prototype: a fictional artifact built to feel like it belongs to a real, believable world (borrowed from Kirby's film-studies concept).
Value Elicitation: using the prototype specifically to surface concerns like privacy, autonomy, and control, not usability.
Speculative Realism: treating design as inquiry that expands what's imaginable rather than solving a predefined problem.",Design futuring through diegetic prototypes: Provoking value reflection on emerging technologies.,"""We need infrastructures for value reflection - spaces where people can meaningfully examine not just technologies, but the human values being reinforced, challenged, or eroded. Diegetic prototypes, when paired with thoughtful facilitation, offer one such infrastructure."" (Ch.6 - Conclusion)","This paper isolates the specific mechanism our other sources only imply, that is - how a speculative artifact pulls values out of people, which directly justifies our decision to build a speculative AV provocation rather than survey or interview participants. It's less direct (a single case study, no community workshop), but it names the engine that makes our provocation work.",,2025,Participatory Method,Mariya
"Sörries, P., Leimstädtner, D., & Müller-Birn, C.","This paper argues that a structured, multi-phase participatory workshop can reliably convert vulnerable stakeholders' stated values into concrete design requirements, demonstrating that value elicitation through workshops produces actionable design direction rather than just discussion.",https://doi.org/10.1145/3637293,"Only three workshops in a single healthcare and legal context (GDPR-bound Germany), so the four-phase method's transferability to a mobility or food-pantry setting is untested.","Proceedings of the ACM on Human-Computer Interaction, 8(CSCW1), Article 16.","Participatory Value Elicitation: a four-phase workshop method built specifically to draw out and then translate participants' values into requirements.
Value Sensitive Design (VSD): the same foundational values-in-design framework Liao & Muller build on, here operationalized in a real workshop.
Reflective Design: deliberately surfacing the usually-unconscious values a technology carries by having participants reflect on alternatives.",Advocating values through meaningful participation: Introducing a method to elicit and analyze values for enriching data donation practices in healthcare.,"""Finally, we emphasize that our workshop concept enabled participants to recognize the ambivalence of values"" & ""In other words, values illuminate personal experiences and are closely linked to them, thus offering valuable insights for technology design."" (Section 5.2 Reflections on the Suitability of our Method)","This is the clearest evidence on our list that the workshop-to-values-to-design pipeline actually closes; that values surfaced in workshops become real design requirements, not just talk. It directly supports our thread's implicit promise: that the community concerns our workshops surfaced (equitable access, relational trust, flexibility) can concretely inform how AV-related infrastructure should be designed.",,2024,Participatory Method,Mariya
"Wong, R.Y., Mulligan, D.K., Van Wyk, E., Pierce, J., & Chuang, J.","This paper argues that a workbook of speculative design fictions can serve as a deliberate ""values lever"" that surfaces people's underlying social values about an emerging technology, meaning speculative artifacts are an active tool for eliciting values, not just a passive stimulus to react to.",https://doi.org/10.1145/3134746,"Participants were an expert population (graduate students training as tech professionals), not an underserved community, so we can't assume the workbook effect transfers identically to food pantry users without adaptation.","Proceedings of the ACM on Human-Computer Interaction, 1(CSCW), Article 111.","Speculative Design Workbook: a collection of speculative design proposals assembled to help people explore and reflect on a design space, not to pitch a real product.
Values levers (from Shilton): anything that shifts a conversation to foreground values and treat them as central to design; they argue their workbooks acted as one.
Privacy By Design (PBD): embedding privacy protections into products during design, ratherthan retroactively",Eliciting values reflections by engaging privacy futures using design workbooks.,"""Critical, speculative, and value-centered design approaches can be used to elicit reflections on relevant social values early in product development"" (Abstract Section)","This is our strongest, award-winning proof that a speculative artifact deliberately elicits values rather than merely provoking a reaction, which is the precise justification for why we built a speculative AV provocation instead of asking participants directly. It anchors the ""why this method"" core of our thread.",,2017,Participatory Method,Mariya
